"exp_id","benchmark","exp_name","max_riding_time","buses","iter"
48,"CSCB02","Chen",2700.0,37,1
49,"CSCB02","combined",2700.0,37,1
50,"CSCB02","LBH",2700.0,43,1
51,"CSCB03","one",2700.0,67,1
52,"CSCB03","many",2700.0,65,1
53,"CSCB03","Chen",2700.0,66,1
54,"CSCB03","combined",2700.0,64,1
55,"CSCB03","LBH",2700.0,73,1
56,"CSCB04","one",2700.0,70,1
57,"CSCB04","many",2700.0,69,1
58,"CSCB04","Chen",2700.0,73,1
59,"CSCB04","combined",2700.0,69,1
60,"CSCB04","LBH",2700.0,81,1
61,"CSCB05","one",2700.0,146,1
62,"CSCB05","many",2700.0,143,1
63,"CSCB05","Chen",2700.0,146,1
64,"CSCB05","combined",2700.0,143,1
65,"CSCB05","LBH",2700.0,158,1
66,"CSCB06","one",2700.0,141,1
67,"CSCB06","many",2700.0,141,1
68,"CSCB06","Chen",2700.0,145,1
69,"CSCB06","combined",2700.0,140,1
70,"CSCB06","LBH",2700.0,162,1
71,"CSCB07","one",2700.0,218,1
72,"CSCB07","many",2700.0,206,1
73,"CSCB07","Chen",2700.0,223,1
74,"CSCB07","combined",2700.0,206,1
75,"CSCB07","LBH",2700.0,240,1
76,"CSCB08","one",2700.0,192,1
77,"CSCB08","many",2700.0,188,1
78,"CSCB08","Chen",2700.0,195,1
79,"CSCB08","combined",2700.0,186,1
80,"CSCB08","LBH",2700.0,234,1
81,"RSRB01","one",5400.0,31,1
82,"RSRB01","many",5400.0,31,1
83,"RSRB01","Chen",5400.0,31,1
84,"RSRB01","combined",5400.0,31,1
85,"RSRB01","LBH",5400.0,33,1
86,"RSRB02","one",5400.0,27,1
87,"RSRB02","many",5400.0,26,1
88,"RSRB02","Chen",5400.0,27,1
89,"RSRB02","combined",5400.0,26,1
90,"RSRB02","LBH",5400.0,33,1
91,"RSRB03","one",5400.0,52,1
92,"RSRB03","many",5400.0,50,1
93,"RSRB03","Chen",5400.0,50,1
94,"RSRB03","combined",5400.0,50,1
95,"RSRB03","LBH",5400.0,52,1
96,"RSRB04","one",5400.0,52,1
97,"RSRB04","many",5400.0,50,1
98,"RSRB04","Chen",5400.0,50,1
99,"RSRB04","combined",5400.0,49,1
100,"RSRB04","LBH",5400.0,55,1
101,"RSRB05","one",5400.0,93,1
102,"RSRB05","many",5400.0,91,1
103,"RSRB05","Chen",5400.0,93,1
104,"RSRB05","combined",5400.0,91,1
105,"RSRB05","LBH",5400.0,95,1
106,"RSRB06","one",5400.0,82,1
107,"RSRB06","many",5400.0,76,1
108,"RSRB06","Chen",5400.0,86,1
109,"RSRB06","combined",5400.0,76,1
110,"RSRB06","LBH",5400.0,93,1
111,"RSRB07","one",5400.0,162,1
112,"RSRB07","many",5400.0,152,1
113,"RSRB07","Chen",5400.0,166,1
114,"RSRB07","combined",5400.0,151,1
115,"RSRB07","LBH",5400.0,162,1
116,"RSRB08","one",5400.0,167,1
117,"RSRB08","many",5400.0,154,1
118,"RSRB08","Chen",5400.0,174,1
119,"RSRB08","combined",5400.0,152,1
120,"RSRB08","LBH",5400.0,186,1
121,"CSCB01","one",5400.0,31,1
122,"CSCB01","many",5400.0,30,1
123,"CSCB01","Chen",5400.0,32,1
124,"CSCB01","combined",5400.0,30,1
125,"CSCB01","LBH",5400.0,31,1
126,"CSCB02","one",5400.0,29,1
127,"CSCB02","many",5400.0,28,1
128,"CSCB02","Chen",5400.0,29,1
129,"CSCB02","combined",5400.0,28,1
130,"CSCB02","LBH",5400.0,29,1
131,"CSCB03","one",5400.0,56,1
132,"CSCB03","many",5400.0,51,1
133,"CSCB03","Chen",5400.0,52,1
134,"CSCB03","combined",5400.0,51,1
135,"CSCB03","LBH",5400.0,61,1
136,"CSCB04","one",5400.0,52,1
137,"CSCB04","many",5400.0,48,1
138,"CSCB04","Chen",5400.0,51,1
139,"CSCB04","combined",5400.0,48,1
140,"CSCB04","LBH",5400.0,57,1
141,"CSCB05","one",5400.0,127,1
142,"CSCB05","many",5400.0,121,1
143,"CSCB05","Chen",5400.0,128,1
144,"CSCB05","combined",5400.0,121,1
145,"CSCB05","LBH",5400.0,131,1
146,"CSCB06","one",5400.0,122,1
147,"CSCB06","many",5400.0,116,1
148,"CSCB06","Chen",5400.0,124,1
149,"CSCB06","combined",5400.0,114,1
150,"CSCB06","LBH",5400.0,127,1
151,"CSCB07","one",5400.0,178,1
152,"CSCB07","many",5400.0,163,1
153,"CSCB07","Chen",5400.0,170,1
154,"CSCB07","combined",5400.0,162,1
155,"CSCB07","LBH",5400.0,181,1
156,"CSCB08","one",5400.0,155,1
157,"CSCB08","many",5400.0,140,1
158,"CSCB08","Chen",5400.0,149,1
159,"CSCB08","combined",5400.0,136,1
160,"CSCB08","LBH",5400.0,174,1
